age,income,experience_years,education_years,hours_worked_per_week,satisfaction_score,department,city,performance_rating,projects_completed,training_hours,remote_work_ratio,tenure_years,overtime_hours,target_salary
58.0,69549.87,39.0,12.0,39.3,6.14,Engineering,Sylhet,2.0,5.0,35.9,0.497,39.0,2.8,68384.37
52.0,60693.22,32.0,16.0,29.5,7.23,Marketing,Dhaka,5.0,5.0,6.3,0.671,32.0,2.2,65594.91
43.0,45906.57,25.0,19.0,58.1,7.71,HR,Rajshahi,4.0,1.0,26.9,0.187,25.0,0.5,49246.79
58.0,65469.2,,10.0,38.9,7.45,Engineering,Chittagong,4.0,3.0,13.3,0.255,39.0,13.7,72753.03
45.0,60345.96,24.0,17.0,34.6,4.05,Finance,Sylhet,4.0,8.0,7.1,0.612,22.0,0.0,
26.0,41635.06,5.0,12.0,47.7,5.64,Sales,Sylhet,3.0,6.0,90.6,0.649,4.0,9.4,38841.41
31.0,,12.0,15.0,38.5,9.14,Engineering,Dhaka,2.0,6.0,3.4,0.106,10.0,3.6,38886.55
43.0,,24.0,17.0,36.3,7.65,Finance,Sylhet,3.0,3.0,38.3,0.703,23.0,3.5,62380.11
,70797.16,49.0,10.0,38.1,5.68,Engineering,chittagong,,6.0,106.8,0.563,49.0,1.8,69035.38
57.0,56581.84,36.0,15.0,43.9,7.3,Engineering,Dhaka,5.0,6.0,0.8,0.238,35.0,8.5,65241.05
26.0,50737.18,4.0,15.0,26.1,7.38,Engineering,Khulna,1.0,4.0,14.7,0.873,2.0,2.2,35795.67
63.0,62769.14,42.0,8.0,33.0,,Engineering,Khulna,5.0,1.0,14.7,0.441,40.0,4.6,65015.9
18.0,39043.63,0.0,17.0,37.2,7.44,Sales,Khulna,3.0,9.0,47.8,0.421,0.0,4.5,35307.25
58.0,54984.59,37.0,11.0,27.2,7.45,Sales,Khulna,4.0,4.0,6.1,0.863,37.0,10.5,56376.88
50.0,71531.38,29.0,16.0,36.9,7.66,Sales,Chittagong,3.0,5.0,38.7,0.212,27.0,10.8,68310.65
59.0,73012.04,39.0,15.0,40.6,6.88,Engineering,Khulna,3.0,4.0,4.9,0.265,38.0,7.8,78904.53
56.0,270904.44,34.0,10.0,32.0,9.63,Sales,Sylhet,2.0,3.0,16.7,0.107,32.0,9.6,172840.1
45.0,53258.12,23.0,9.0,45.9,7.59,HR,Chittagong,4.0,5.0,5.2,0.139,,6.3,49537.44
64.0,76560.5,44.0,10.0,28.6,5.85,Engineering,Chittagong,4.0,2.0,38.7,0.774,44.0,,74959.99
27.0,46914.33,9.0,8.0,33.9,9.26,Finance,Sylhet,5.0,5.0,8.0,0.728,8.0,10.1,40228.47
24.0,,3.0,17.0,49.5,6.04,Engineering,DHAKA,4.0,8.0,69.8,0.453,1.0,1.3,39831.56
26.0,37506.55,5.0,12.0,44.1,6.59,Sales,Chittagong,5.0,7.0,28.8,0.38,4.0,10.0,36731.72
36.0,41633.22,15.0,9.0,41.3,7.91,Finance,Sylhet,1.0,3.0,2.4,0.582,15.0,5.7,43073.96
35.0,49601.14,17.0,9.0,41.5,6.18,Sales,Rajshahi,5.0,5.0,20.7,0.131,15.0,7.7,48656.21
31.0,43156.21,9.0,13.0,48.8,5.06,Marketing,Rajshahi,2.0,5.0,5.5,0.103,9.0,1.4,29501.38
33.0,50611.7,14.0,18.0,31.1,4.67,Sales,Khulna,,1.0,45.3,0.222,14.0,19.0,44697.12
55.0,46818.64,33.0,14.0,36.0,5.3,HR,Khulna,3.0,5.0,7.0,0.596,32.0,3.7,47729.81
69.0,83970.34,49.0,11.0,43.6,9.69,Sales,Dhaka,3.0,4.0,18.4,0.732,49.0,5.2,87971.76
43.0,52498.08,22.0,18.0,41.4,6.45,Engineering,Rajshahi,3.0,4.0,20.9,0.45,21.0,4.2,62565.01
40.0,39818.05,20.0,16.0,32.3,9.72,HR,Khulna,4.0,6.0,13.6,0.538,19.0,1.5,48346.59
59.0,64297.5,37.0,16.0,46.7,7.65,Finance,Dhaka,2.0,6.0,16.4,0.769,35.0,9.8,69110.67
60.0,60917.25,38.0,19.0,45.1,4.63,Marketing,Sylhet,5.0,6.0,54.0,0.911,38.0,8.8,61837.31
39.0,51606.29,17.0,10.0,32.7,10.0,Marketing,Rajshahi,3.0,7.0,19.0,0.596,15.0,7.3,35058.03
53.0,52804.06,34.0,13.0,47.5,7.37,HR,Rajshahi,,7.0,17.7,0.131,33.0,9.0,62587.77
25.0,46372.38,5.0,9.0,35.2,7.84,HR,Dhaka,3.0,3.0,40.9,0.417,5.0,3.4,35587.77
56.0,56277.92,35.0,10.0,42.8,,Finance,Chittagong,4.0,5.0,21.6,0.538,33.0,3.9,70407.92
67.0,80860.01,47.0,12.0,41.8,5.36,Sales,Sylhet,3.0,4.0,15.9,,47.0,3.6,76493.93
58.0,60759.74,38.0,9.0,49.0,7.12,Sales,Rajshahi,3.0,5.0,3.2,0.572,37.0,1.0,52796.23
58.0,76993.29,38.0,19.0,31.2,7.47,Finance,Chittagong,3.0,8.0,37.2,0.34,,14.2,72959.33
63.0,69518.1,44.0,17.0,41.0,4.21,Engineering,Khulna,4.0,6.0,47.3,0.621,42.0,0.6,79060.52
27.0,27879.43,9.0,19.0,30.2,5.18,Engineering,Khulna,4.0,9.0,10.1,0.717,8.0,7.2,31205.37
35.0,40060.64,15.0,8.0,26.2,7.24,HR,Rajshahi,4.0,5.0,5.2,0.406,,2.6,38081.98
60.0,57358.4,39.0,12.0,39.6,6.84,Engineering,Rajshahi,5.0,8.0,4.8,0.491,39.0,2.0,64329.3
40.0,54792.23,18.0,13.0,32.5,8.48,Marketing,Chittagong,1.0,7.0,6.0,0.609,18.0,11.3,28144.98
57.0,66357.18,35.0,11.0,31.6,8.79,Finance,Sylhet,2.0,2.0,2.0,0.227,35.0,8.7,53004.51
44.0,,23.0,9.0,44.5,7.61,Sales,Chittagong,4.0,4.0,11.1,0.599,22.0,6.8,48549.9
35.0,49899.36,14.0,19.0,33.0,9.0,Sales,Rajshahi,3.0,,4.8,0.654,14.0,0.0,51526.43
48.0,80287.04,30.0,11.0,51.2,8.14,Engineering,Rajshahi,3.0,2.0,4.1,0.584,29.0,8.5,72942.44
53.0,71190.81,32.0,9.0,51.5,8.97,Finance,Dhaka,3.0,4.0,40.6,0.082,30.0,4.8,67335.65
56.0,57026.79,37.0,10.0,30.6,8.21,Marketing,Khulna,4.0,6.0,18.0,0.178,35.0,0.5,62813.17
67.0,79495.61,45.0,16.0,45.9,6.63,Engineering,Rajshahi,4.0,2.0,0.6,0.059,44.0,7.7,72105.5
39.0,36989.15,19.0,,46.3,7.4,Engineering,Khulna,3.0,6.0,19.7,0.823,19.0,4.8,34394.8
64.0,64221.65,46.0,12.0,38.9,4.8,Sales,Chittagong,1.0,6.0,1.0,0.224,44.0,0.1,69742.0
60.0,64982.39,41.0,13.0,57.4,7.27,Finance,Chittagong,3.0,5.0,16.2,0.188,40.0,0.0,66398.9
45.0,70968.86,23.0,19.0,27.7,7.45,Finance,Rajshahi,4.0,8.0,6.4,0.621,23.0,0.0,59861.04
56.0,62186.14,36.0,16.0,,6.09,Finance,Khulna,4.0,5.0,36.2,0.425,34.0,6.7,64808.14
22.0,28867.43,4.0,19.0,42.8,7.86,Engineering,Rajshahi,1.0,3.0,33.2,0.644,3.0,5.7,34383.83
25.0,40336.53,5.0,15.0,45.3,5.25,Sales,Khulna,4.0,7.0,4.6,0.553,5.0,1.8,35933.66
53.0,69601.07,33.0,16.0,39.4,7.76,Sales,Khulna,3.0,7.0,18.9,0.278,33.0,7.9,64765.64
49.0,56155.59,27.0,12.0,43.5,7.81,hr,Dhaka,4.0,2.0,10.9,0.394,26.0,0.0,53407.91
20.0,35556.81,1.0,12.0,37.9,6.21,Sales,Dhaka,4.0,2.0,8.0,0.661,0.0,5.7,22732.96
47.0,55212.7,26.0,17.0,42.4,7.64,Finance,Chittagong,2.0,6.0,13.7,0.555,26.0,6.7,50310.52
23.0,26085.23,4.0,15.0,38.0,4.73,Engineering,Dhaka,4.0,5.0,18.5,0.401,2.0,0.0,29558.91
19.0,42875.81,0.0,10.0,48.8,7.44,HR,Rajshahi,1.0,4.0,40.6,0.753,0.0,6.6,29148.9
55.0,62530.17,36.0,11.0,57.5,8.5,Finance,Chittagong,4.0,6.0,13.4,0.684,36.0,,62252.49
55.0,70116.03,34.0,13.0,26.6,9.33,Engineering,Rajshahi,4.0,5.0,0.2,0.652,33.0,8.1,76873.05
33.0,32184.79,11.0,15.0,39.7,7.99,Engineering,Rajshahi,2.0,2.0,15.1,0.161,11.0,8.0,18590.84
40.0,42526.21,22.0,12.0,39.0,5.22,Sales,Sylhet,3.0,3.0,10.7,0.524,20.0,2.0,42989.32
63.0,75603.37,43.0,14.0,48.4,8.21,Marketing,Chittagong,4.0,0.0,27.0,0.659,43.0,9.3,72000.1
28.0,38210.47,9.0,15.0,35.8,2.29,Finance,Chittagong,2.0,2.0,10.0,0.234,8.0,7.0,35189.11
26.0,36224.91,8.0,18.0,40.3,,HR,Chittagong,4.0,8.0,11.2,0.495,8.0,1.6,29464.91
55.0,67672.35,34.0,16.0,34.4,6.18,HR,Chittagong,4.0,2.0,42.2,0.497,34.0,4.1,66404.79
54.0,74153.97,34.0,12.0,40.4,7.13,Sales,Khulna,5.0,3.0,26.2,0.553,33.0,8.0,70876.04
66.0,67930.24,44.0,9.0,33.6,10.0,Sales,Rajshahi,2.0,7.0,17.3,0.746,44.0,7.3,67163.85
57.0,60711.22,35.0,17.0,30.4,6.7,Sales,Dhaka,2.0,4.0,14.7,0.471,34.0,6.9,63767.14
18.0,36245.44,0.0,13.0,48.8,5.88,HR,Dhaka,3.0,8.0,14.0,,0.0,5.6,38106.18
56.0,51982.84,37.0,16.0,42.3,6.34,Marketing,Rajshahi,3.0,6.0,22.6,0.167,35.0,7.8,58167.25
50.0,68387.34,32.0,9.0,42.3,8.42,Sales,Dhaka,,5.0,33.1,0.709,32.0,11.3,59550.25
32.0,,14.0,12.0,31.4,8.16,Finance,Chittagong,4.0,4.0,1.4,0.763,14.0,7.9,55908.41
30.0,48083.98,12.0,17.0,40.9,8.63,Engineering,Chittagong,4.0,5.0,14.4,0.855,,4.1,42671.87
29.0,47282.94,8.0,8.0,46.2,4.3,Engineering,Rajshahi,4.0,5.0,15.2,0.425,7.0,8.3,34836.25
35.0,50407.04,14.0,14.0,40.6,7.39,Engineering,Khulna,5.0,9.0,9.9,0.233,14.0,0.0,35871.43
55.0,52796.89,36.0,8.0,22.3,8.55,Sales,Dhaka,4.0,5.0,44.9,0.513,34.0,0.0,55257.57
36.0,47440.45,16.0,16.0,,6.68,Engineering,Dhaka,3.0,7.0,55.0,0.659,16.0,6.4,46681.31
26.0,44502.07,7.0,13.0,56.4,7.45,HR,Sylhet,5.0,7.0,22.1,0.296,6.0,5.6,41989.89
61.0,71918.92,43.0,8.0,47.0,8.16,Finance,Sylhet,3.0,2.0,5.1,0.489,43.0,7.6,73405.14
,39073.38,1.0,14.0,33.6,7.0,Engineering,Sylhet,5.0,8.0,39.1,0.175,1.0,1.8,37991.34
18.0,28138.57,0.0,17.0,43.3,6.56,Sales,Chittagong,3.0,4.0,41.6,0.75,0.0,0.0,40145.4
23.0,32879.43,4.0,18.0,46.0,5.59,Sales,Chittagong,3.0,8.0,26.6,0.404,4.0,11.6,33485.56
69.0,76610.29,51.0,15.0,39.7,6.49,HR,Khulna,4.0,7.0,35.4,0.198,51.0,1.8,77759.79
38.0,43063.25,19.0,10.0,32.5,6.38,Sales,Dhaka,1.0,5.0,13.0,0.592,18.0,5.1,43377.08
